CustomerNumber,OfferAccepted,Reward,MailerType,IncomeLevel,NumBankAccountsOpen,OverdraftProtection,CreditRating,NumCreditCardsHeld,NumHomesOwned,HouseholdSize,OwnYourHome,AverageBalance,Q1Balance,Q2Balance,Q3Balance,Q4Balance,Rand,Keep,Accepted
878,No,Points,Letter,Medium,1,No,Low,4,1,4,Yes,1051,630,590,825,2159,0.136471868,1,0
879,No,Air Miles,Letter,High,1,No,Medium,2,1,2,Yes,1259.75,1397,1731,1056,855,0.136471868,1,0
880,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,3,Yes,1166.5,197,1197,1075,2197,0.136471868,1,1
881,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,3,No,1394.25,529,1867,2058,1123,0.136471868,1,1
882,No,Air Miles,Letter,Low,1,No,Low,1,1,4,Yes,996,1536,1357,596,495,0.136471868,1,0
883,No,Points,Letter,Medium,1,Yes,Medium,1,1,4,No,1119.5,199,1618,1629,1032,0.136471868,1,0
884,No,Cash Back,Letter,Low,2,No,Low,3,1,3,Yes,1333.75,705,1165,1693,1772,0.136471868,1,0
885,No,Air Miles,Postcard,High,1,No,Medium,1,2,4,Yes,1182.75,1223,1677,1060,771,0.136471868,1,0
886,No,Air Miles,Letter,High,1,No,Low,2,1,3,No,778,726,989,596,801,0.136471868,1,0
887,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1139.75,281,925,1198,2155,0.136471868,1,0
888,Yes,Air Miles,Postcard,High,1,No,Low,2,1,1,Yes,1033.75,1566,1302,909,358,0.136471868,1,1
889,Yes,Air Miles,Postcard,Low,3,No,Medium,2,1,4,Yes,,,,,,0.136471868,1,1
890,No,Air Miles,Letter,Low,1,No,Medium,1,1,4,No,1055.5,1931,1156,749,386,0.136471868,1,0
891,No,Cash Back,Postcard,Medium,1,No,Medium,1,2,3,Yes,872.25,99,1282,1544,564,0.136471868,1,0
892,No,Cash Back,Letter,Medium,1,No,Medium,3,2,3,No,764.5,337,517,1385,819,0.136471868,1,0
893,No,Air Miles,Postcard,High,1,No,High,2,2,3,Yes,263.5,288,242,141,383,0.136471868,1,0
894,No,Points,Letter,Low,1,No,Medium,1,1,4,No,1104.75,1800,866,984,769,0.136471868,1,0
895,No,Air Miles,Letter,High,1,No,Medium,2,1,3,Yes,1217.75,1546,1372,982,971,0.136471868,1,0
896,No,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,Yes,269.25,118,440,361,158,0.136471868,1,0
897,Yes,Air Miles,Letter,Medium,1,No,Low,2,1,4,No,1128.25,505,1208,2089,711,0.136471868,1,1
898,No,Cash Back,Postcard,Medium,1,No,Low,1,2,2,Yes,739,568,540,965,883,0.136471868,1,0
899,Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,No,1173.25,393,1586,1826,888,0.136471868,1,1
900,No,Cash Back,Letter,High,2,No,High,2,2,4,No,1176.5,1612,1273,988,833,0.136471868,1,0
901,No,Points,Letter,High,1,No,Medium,3,2,4,No,791,647,952,781,784,0.136471868,1,0
902,No,Points,Postcard,Medium,1,No,Low,2,1,5,No,1092.75,1917,1209,868,377,0.136471868,1,0
903,No,Cash Back,Letter,Medium,2,No,High,2,1,4,Yes,233.25,422,117,318,76,0.136471868,1,0
904,No,Cash Back,Letter,Low,1,No,High,2,1,2,Yes,686.25,620,967,559,599,0.136471868,1,0
905,No,Air Miles,Postcard,Low,1,Yes,Low,2,1,3,Yes,1241,1514,1761,686,1003,0.136471868,1,0
906,No,Cash Back,Postcard,Low,1,No,Medium,1,1,3,No,205.75,85,111,382,245,0.136471868,1,0
907,No,Points,Letter,Medium,1,No,Medium,1,2,4,Yes,1193.5,674,1387,1394,1319,0.136471868,1,0
908,No,Air Miles,Letter,High,1,No,Medium,1,1,3,No,1114.25,230,1644,1949,634,0.136471868,1,0
909,No,Cash Back,Postcard,Low,1,Yes,Medium,3,1,4,Yes,746,537,878,588,981,0.136471868,1,0
910,No,Points,Letter,Medium,2,No,High,1,1,2,Yes,1064.75,1960,1234,898,167,0.136471868,1,0
911,No,Cash Back,Postcard,Low,1,No,High,3,1,3,Yes,1040.5,70,441,1510,2141,0.136471868,1,0
912,No,Air Miles,Postcard,Medium,1,No,Medium,2,2,5,Yes,1162.75,424,1293,2059,875,0.136471868,1,0
913,No,Air Miles,Postcard,Low,1,No,High,2,1,4,Yes,767.5,656,770,667,977,0.136471868,1,0
914,No,Cash Back,Letter,Medium,1,No,Low,2,2,4,Yes,201,65,243,21,475,0.136471868,1,0
915,No,Cash Back,Letter,Medium,1,No,Medium,1,2,3,Yes,895,700,951,934,995,0.136471868,1,0
916,Yes,Air Miles,Letter,High,1,Yes,High,4,1,4,Yes,270,225,490,102,263,0.136471868,1,1
917,No,Cash Back,Letter,Low,2,No,Low,1,2,5,Yes,800.75,431,873,1404,495,0.136471868,1,0
918,No,Points,Postcard,Medium,2,No,Low,1,1,4,No,1300.75,1351,539,1496,1817,0.136471868,1,0
919,No,Cash Back,Postcard,Medium,1,No,Medium,3,1,4,No,990.5,522,1057,975,1408,0.136471868,1,0
920,No,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,4,Yes,758,692,919,817,604,0.136471868,1,0
921,Yes,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1034,510,1362,1619,645,0.136471868,1,1
922,No,Points,Letter,Low,1,No,High,1,2,3,No,1006,1901,1323,640,160,0.136471868,1,0
923,No,Cash Back,Letter,Medium,1,No,Medium,3,2,3,Yes,1388.5,1243,1464,1425,1422,0.136471868,1,0
924,No,Points,Postcard,Medium,1,No,High,2,1,3,Yes,1194.25,1293,1533,1294,657,0.136471868,1,0
925,No,Air Miles,Letter,Medium,1,Yes,Low,1,1,4,No,713.75,709,581,948,617,0.136471868,1,0
926,No,Cash Back,Postcard,Medium,1,No,High,2,3,3,Yes,1010,1680,1333,952,75,0.136471868,1,0
927,No,Points,Letter,Medium,1,No,Low,3,1,3,No,709.75,715,614,825,685,0.136471868,1,0
928,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,No,329.5,366,273,379,300,0.136471868,1,0
929,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,3,No,716.75,663,587,826,791,0.136471868,1,1
930,Yes,Cash Back,Postcard,Medium,1,Yes,Low,1,1,2,No,952,1941,1299,556,12,0.136471868,1,1
931,No,Cash Back,Letter,Medium,1,No,Medium,1,2,4,Yes,362.75,373,470,389,219,0.136471868,1,0
932,No,Air Miles,Letter,Low,1,Yes,Medium,1,2,3,Yes,138.75,56,2,305,192,0.136471868,1,0
933,No,Cash Back,Letter,Medium,2,No,Low,2,1,2,Yes,998.25,1540,845,701,907,0.136471868,1,0
934,Yes,Air Miles,Letter,Low,1,No,Medium,3,1,4,Yes,181,65,262,155,242,0.136471868,1,1
935,No,Cash Back,Letter,Low,1,No,Low,1,2,5,Yes,1095,1221,1439,759,961,0.136471868,1,0
936,No,Air Miles,Postcard,High,1,No,Low,3,1,5,No,1058.25,1,1887,1439,906,0.136471868,1,0
937,No,Cash Back,Postcard,Low,2,No,High,2,1,2,Yes,262.75,411,78,155,407,0.136471868,1,0
938,Yes,Cash Back,Letter,Medium,1,No,Low,2,2,3,No,898.5,500,1404,1208,482,0.136471868,1,1
939,No,Cash Back,Letter,Medium,1,No,High,1,1,5,Yes,148.5,71,244,86,193,0.136471868,1,0
940,No,Points,Postcard,Medium,1,No,Low,1,2,6,Yes,1313.5,1158,538,1750,1808,0.136471868,1,0
941,No,Cash Back,Letter,Low,1,No,Low,2,2,4,No,1282,2154,1022,1363,589,0.136471868,1,0
942,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,No,1117,2005,1304,514,645,0.136471868,1,0
943,No,Points,Postcard,High,1,Yes,Low,1,1,3,Yes,1150,857,1475,1565,703,0.136471868,1,0
944,No,Points,Letter,High,1,No,Medium,1,1,4,Yes,833,951,755,973,653,0.136471868,1,0
945,No,Points,Letter,Medium,2,No,Low,2,1,5,Yes,1045.75,1207,1005,991,980,0.136471868,1,0
946,No,Cash Back,Letter,High,1,Yes,Low,2,2,5,Yes,936.25,1565,1172,695,313,0.136471868,1,0
947,No,Points,Postcard,Medium,2,No,High,1,1,3,Yes,1210,662,1167,1670,1341,0.136471868,1,0
948,No,Points,Postcard,Medium,2,No,High,1,1,6,Yes,992.25,317,414,1191,2047,0.136471868,1,0
949,No,Cash Back,Letter,Medium,1,No,Low,1,1,5,Yes,934,139,802,2071,724,0.136471868,1,0
950,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,3,Yes,923,752,447,1080,1413,0.136471868,1,0
951,Yes,Points,Postcard,High,1,No,Medium,3,1,4,Yes,1017,580,461,1299,1728,0.136471868,1,1
952,No,Cash Back,Letter,Medium,1,No,High,3,1,3,Yes,1012.75,1758,1328,523,442,0.136471868,1,0
953,No,Air Miles,Postcard,Medium,1,No,High,3,1,2,Yes,1059,381,1707,1729,419,0.136471868,1,0
954,Yes,Points,Postcard,Low,2,No,Medium,2,1,3,No,1145.5,667,982,1378,1555,0.136471868,1,1
955,No,Cash Back,Letter,High,1,No,Low,1,1,2,No,844.75,1553,1204,615,7,0.136471868,1,0
956,Yes,Air Miles,Letter,Low,1,No,Medium,2,1,5,Yes,879,120,487,1275,1634,0.136471868,1,1
957,No,Air Miles,Postcard,Medium,1,Yes,High,1,1,4,No,1086.25,1906,1140,882,417,0.136471868,1,0
958,No,Air Miles,Letter,High,2,Yes,Medium,2,1,2,No,1004.75,1659,1444,850,66,0.136471868,1,0
959,No,Points,Postcard,Low,1,Yes,Medium,1,1,4,Yes,953.75,1676,1376,602,161,0.136471868,1,0
960,No,Air Miles,Postcard,Low,1,No,Medium,3,1,2,No,1119,1707,1608,866,295,0.136471868,1,0
961,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,898.75,312,933,1474,876,0.136471868,1,0
962,No,Air Miles,Letter,High,1,No,High,2,2,2,Yes,1361.25,1583,1639,1300,923,0.136471868,1,0
963,No,Points,Letter,Low,1,No,High,4,1,3,No,1109.25,1473,1506,592,866,0.136471868,1,0
964,No,Points,Postcard,Low,2,No,High,4,2,4,Yes,1057.25,1659,1789,717,64,0.136471868,1,0
965,No,Points,Postcard,Low,1,No,Low,3,2,2,No,1687.5,1266,1607,2237,1640,0.136471868,1,0
966,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,866.5,1368,862,1145,91,0.136471868,1,1
967,No,Points,Postcard,Low,2,No,High,2,1,1,Yes,947.5,87,1387,924,1392,0.136471868,1,0
968,No,Cash Back,Letter,Low,1,Yes,Medium,2,1,3,No,226.25,162,409,155,179,0.136471868,1,0
969,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,772.75,651,849,985,606,0.136471868,1,0
970,No,Cash Back,Postcard,Medium,2,Yes,Medium,2,1,3,Yes,1748,1706,1775,1685,1826,0.136471868,1,0
971,No,Cash Back,Postcard,High,1,No,High,2,3,4,Yes,799.25,835,878,655,829,0.136471868,1,0
972,No,Cash Back,Postcard,Low,2,Yes,Medium,2,2,4,No,1138.5,1094,1456,933,1071,0.136471868,1,0
973,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,No,1138.75,52,1041,1568,1894,0.136471868,1,1
974,No,Points,Letter,Low,1,No,Medium,3,1,3,Yes,273,195,122,457,318,0.136471868,1,0
975,No,Points,Postcard,High,1,No,Medium,2,1,5,No,1164.75,708,1246,1547,1158,0.136471868,1,0
976,No,Points,Letter,Low,1,No,High,2,1,4,Yes,1307.25,592,1558,1953,1126,0.136471868,1,0
977,Yes,Points,Postcard,Low,1,No,Low,2,1,3,Yes,1026.5,1945,1144,569,448,0.136471868,1,1
978,No,Cash Back,Postcard,High,1,No,Low,3,1,4,No,278.5,360,277,412,65,0.136471868,1,0
979,No,Cash Back,Letter,Low,1,Yes,High,2,2,3,Yes,1221,1330,638,1474,1442,0.136471868,1,0
980,Yes,Air Miles,Postcard,Low,1,No,Low,1,2,2,Yes,301.25,5,478,278,444,0.136471868,1,1
981,No,Points,Letter,Medium,1,No,Low,1,1,4,Yes,1083.25,2006,1112,898,317,0.136471868,1,0
982,No,Points,Postcard,Medium,1,No,Low,2,1,3,No,1311,634,1516,2076,1018,0.136471868,1,0
983,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,1274.25,1772,1365,994,966,0.136471868,1,1
984,No,Points,Postcard,High,1,No,Low,2,1,3,No,1027.75,836,1134,1554,587,0.136471868,1,0
985,No,Points,Letter,Medium,1,Yes,Medium,2,1,3,Yes,964.5,1229,943,909,777,0.136471868,1,0
986,No,Air Miles,Letter,Medium,1,No,High,1,2,3,Yes,1431.5,2061,1698,1144,823,0.136471868,1,0
987,No,Points,Postcard,Low,1,No,High,1,1,2,Yes,1078.5,1815,1290,993,216,0.136471868,1,0
988,No,Points,Letter,Low,1,No,Low,2,1,4,Yes,1221.75,790,743,1571,1783,0.136471868,1,0
989,No,Air Miles,Letter,Medium,2,No,Medium,1,1,2,No,1479.5,1137,1770,2042,969,0.136471868,1,0
990,No,Points,Postcard,High,1,No,High,2,1,2,No,969,1550,1278,697,351,0.136471868,1,0
991,No,Cash Back,Postcard,Medium,1,No,High,2,1,4,Yes,1192.25,967,1182,981,1639,0.136471868,1,0
992,No,Air Miles,Letter,Medium,1,No,High,2,1,6,Yes,970,23,1596,1848,413,0.136471868,1,0
993,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,4,Yes,1148,1409,1100,1096,987,0.136471868,1,0
994,No,Air Miles,Letter,Low,2,No,Medium,1,1,2,Yes,699.75,630,517,796,856,0.136471868,1,0
995,Yes,Points,Postcard,Medium,1,No,Low,1,1,3,No,1027,888,408,1337,1475,0.136471868,1,1
996,No,Points,Letter,High,1,No,Medium,2,1,2,Yes,1103.75,1047,454,884,2030,0.136471868,1,0
997,No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,919,1266,1130,954,326,0.136471868,1,0
998,No,Points,Postcard,Medium,2,No,Medium,2,1,4,No,1123.75,252,1033,1678,1532,0.136471868,1,0
999,No,Cash Back,Postcard,Medium,1,No,High,3,1,3,Yes,1172.25,1827,1412,462,988,0.136471868,1,0
1000,No,Points,Letter,Low,1,No,High,3,1,3,Yes,970.75,1714,1321,709,139,0.136471868,1,0
1001,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1184.75,313,984,2164,1278,0.136471868,1,0
1002,Yes,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,291.25,437,119,171,438,0.136471868,1,1
1003,No,Air Miles,Letter,Medium,1,No,High,2,2,3,No,1198.25,985,536,1810,1462,0.136471868,1,0
1004,No,Points,Letter,High,3,No,High,2,1,5,Yes,1290.25,2171,1488,664,838,0.136471868,1,0
1005,No,Points,Postcard,Medium,1,No,Low,3,1,2,Yes,1060.75,477,1027,1927,812,0.136471868,1,0
1006,No,Air Miles,Letter,Medium,1,No,High,1,2,2,Yes,782,976,649,764,739,0.136471868,1,0
1007,Yes,Cash Back,Postcard,High,1,Yes,Low,2,2,6,Yes,1108.75,670,834,996,1935,0.136471868,1,1
1008,No,Cash Back,Postcard,Medium,1,No,Low,2,1,4,No,173.5,269,175,217,33,0.136471868,1,0
1009,No,Points,Letter,Medium,2,No,Low,2,1,2,Yes,245,433,300,117,130,0.136471868,1,0
1010,No,Points,Postcard,Low,1,No,Low,1,3,4,Yes,1516.75,952,1754,1925,1436,0.136471868,1,0
1011,No,Cash Back,Postcard,Low,1,No,Medium,3,1,5,Yes,1100.5,382,663,1369,1988,0.136471868,1,0
1012,No,Points,Postcard,High,2,No,Medium,1,1,4,No,1825.25,1912,1881,1695,1813,0.136471868,1,0
1013,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,874,557,574,1078,1287,0.136471868,1,0
1014,No,Points,Letter,Medium,1,No,Low,2,2,5,Yes,303,172,197,458,385,0.136471868,1,0
1015,No,Cash Back,Postcard,Low,2,Yes,Medium,1,1,4,Yes,903,1537,1247,622,206,0.136471868,1,0
1016,No,Air Miles,Postcard,Medium,1,Yes,Medium,4,3,4,Yes,1269,759,1499,1443,1375,0.136471868,1,0
1017,No,Cash Back,Postcard,Medium,1,No,High,3,2,4,No,967.75,1713,1165,911,82,0.136471868,1,0
1018,No,Air Miles,Letter,High,1,No,Medium,1,1,4,Yes,1067,1862,1371,707,328,0.136471868,1,0
1019,No,Air Miles,Letter,Medium,1,No,High,1,1,6,No,238.75,216,71,196,472,0.136471868,1,0
1020,No,Air Miles,Letter,High,1,No,Medium,4,1,4,Yes,1252.25,692,1157,1958,1202,0.136471868,1,0
1021,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,629.75,673,641,536,669,0.136471868,1,0
1022,Yes,Cash Back,Letter,Low,2,Yes,Low,3,1,3,Yes,808.5,630,946,847,811,0.136471868,1,1
1023,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,No,1062.25,353,488,1423,1985,0.136471868,1,0
1024,No,Air Miles,Letter,Medium,2,No,Medium,2,1,5,No,635.25,570,902,519,550,0.136471868,1,0
1025,No,Cash Back,Letter,Medium,1,No,High,2,1,4,Yes,738.75,842,513,663,937,0.136471868,1,0
1026,Yes,Points,Postcard,Low,1,No,High,2,1,3,Yes,1221,533,1555,2023,773,0.136471868,1,1
1027,No,Points,Letter,Low,1,No,Medium,1,1,3,Yes,244.25,373,176,29,399,0.136471868,1,0
1028,No,Points,Postcard,High,1,No,Low,2,1,4,Yes,742.5,549,876,996,549,0.136471868,1,0
1029,No,Cash Back,Postcard,Low,2,No,Low,1,1,3,Yes,974.25,1646,1306,917,28,0.136471868,1,0
1030,No,Points,Letter,Medium,2,No,Low,1,2,3,No,890,392,1263,1269,636,0.136471868,1,0
1031,No,Air Miles,Postcard,Medium,2,No,Low,1,1,4,Yes,924,272,1637,875,912,0.136471868,1,0
1032,Yes,Air Miles,Postcard,Medium,2,No,Medium,2,1,2,Yes,1030,2034,863,896,327,0.136471868,1,1
1033,No,Points,Postcard,High,2,No,High,3,1,5,Yes,705.5,819,576,859,568,0.136471868,1,0
1034,No,Points,Postcard,High,1,No,High,2,1,3,Yes,642.25,638,512,876,543,0.136471868,1,0
1035,No,Points,Postcard,High,2,No,Low,2,1,3,Yes,268.75,176,500,227,172,0.136471868,1,0
1036,No,Air Miles,Postcard,Low,1,No,Medium,1,2,4,No,854.25,1340,1147,443,487,0.136471868,1,0
1037,No,Cash Back,Letter,Medium,2,No,Medium,2,1,4,Yes,1200.25,783,1096,1397,1525,0.136471868,1,0
1038,No,Air Miles,Postcard,High,1,No,High,3,1,3,No,718.25,1320,890,409,254,0.136471868,1,0
1039,Yes,Points,Postcard,Low,1,No,Low,3,1,1,Yes,649,21,475,1480,620,0.136471868,1,1
1040,No,Points,Postcard,Medium,2,No,High,2,1,5,No,1143.25,507,1524,1922,620,0.136471868,1,0
1041,No,Points,Letter,Low,2,No,High,3,1,2,Yes,811,670,908,838,828,0.136471868,1,0
1042,No,Points,Letter,Medium,1,Yes,High,2,1,4,Yes,1386.25,966,856,1698,2025,0.136471868,1,0
1043,No,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,944,1263,1050,1212,251,0.136471868,1,0
1044,Yes,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,984,407,1022,1333,1174,0.136471868,1,1
1045,Yes,Points,Letter,High,1,No,Low,2,2,2,Yes,1763,1934,1664,1921,1533,0.136471868,1,1
1046,No,Points,Letter,Medium,1,No,High,1,1,3,Yes,1088.25,870,548,1411,1524,0.136471868,1,0
1047,No,Cash Back,Letter,Low,1,No,Low,2,2,5,Yes,1106.75,180,1747,1779,721,0.136471868,1,0
1048,Yes,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,158.5,57,115,232,230,0.136471868,1,1
1049,No,Points,Letter,Medium,1,No,High,2,1,4,No,962.75,1833,1389,605,24,0.136471868,1,0
1050,No,Points,Letter,Medium,2,No,Medium,1,1,6,Yes,1087,730,1367,1364,887,0.136471868,1,0
1051,No,Points,Letter,Medium,1,No,Low,1,1,2,No,1730.5,1639,1799,1646,1838,0.136471868,1,0
1052,No,Cash Back,Postcard,High,1,Yes,Low,2,1,3,Yes,1056.5,1614,1434,691,487,0.136471868,1,0
1053,No,Cash Back,Letter,Medium,2,No,Low,1,1,4,Yes,884,223,889,1288,1136,0.136471868,1,0
1054,No,Air Miles,Letter,Medium,1,No,High,2,1,2,Yes,1119.25,150,742,1731,1854,0.136471868,1,0
1055,Yes,Points,Postcard,Medium,2,No,Medium,2,1,4,Yes,1040,1718,1166,852,424,0.136471868,1,1
1056,Yes,Points,Postcard,Low,1,No,Medium,1,1,3,Yes,951.75,1578,1483,524,222,0.136471868,1,1
1057,No,Cash Back,Letter,Medium,1,No,Medium,1,1,5,Yes,1324.5,893,1750,2092,563,0.136471868,1,0
1058,No,Air Miles,Postcard,High,1,No,High,2,2,3,Yes,655.25,536,773,727,585,0.136471868,1,0
1059,Yes,Points,Postcard,Medium,1,No,Low,1,1,4,No,1098.75,863,1319,1589,624,0.136471868,1,1
1060,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,1289,687,1149,1452,1868,0.136471868,1,1
1061,No,Points,Postcard,Medium,1,No,High,3,1,3,Yes,1098.5,1792,1426,942,234,0.136471868,1,0
1062,No,Air Miles,Postcard,Low,2,No,Low,1,1,4,Yes,776.75,627,832,804,844,0.136471868,1,0
1063,No,Air Miles,Letter,Medium,1,No,Medium,2,1,1,No,209.75,244,120,270,205,0.136471868,1,0
1064,No,Air Miles,Letter,High,2,No,Medium,2,1,4,No,205,92,232,339,157,0.136471868,1,0
1065,Yes,Air Miles,Postcard,Low,1,No,Low,4,1,3,Yes,1247,2109,1110,992,777,0.136471868,1,1
1066,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,1255,796,1712,1689,823,0.136471868,1,0
1067,No,Points,Letter,Low,1,Yes,Medium,1,1,1,No,259.25,290,284,377,86,0.136471868,1,0
1068,Yes,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,1295.5,352,1060,2119,1651,0.136471868,1,1
1069,No,Cash Back,Postcard,Low,1,No,High,1,1,1,No,1128.25,1758,1186,945,624,0.136471868,1,0
1070,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,No,1092.75,627,1375,884,1485,0.136471868,1,0
1071,No,Cash Back,Postcard,Medium,1,No,Low,2,3,2,Yes,805.75,1505,1070,602,46,0.136471868,1,0
1072,No,Points,Postcard,High,1,Yes,High,1,2,4,Yes,289.25,290,403,163,301,0.136471868,1,0
1073,No,Cash Back,Postcard,Medium,1,No,Low,1,1,2,Yes,734,614,761,600,961,0.136471868,1,0
1074,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,1366,378,1744,2017,1325,0.136471868,1,1
1075,No,Air Miles,Letter,High,2,No,High,1,1,5,No,1182.75,737,959,1991,1044,0.136471868,1,0
1076,No,Air Miles,Letter,Medium,1,No,Low,1,1,3,No,152.25,84,82,320,123,0.136471868,1,0
1077,No,Points,Letter,Medium,2,Yes,High,2,2,3,No,327.5,406,372,305,227,0.136471868,1,0
1078,No,Cash Back,Letter,High,1,No,Low,3,1,4,No,1147.5,275,444,2008,1863,0.136471868,1,0
1079,No,Points,Letter,Medium,1,Yes,Medium,3,1,4,No,274.25,13,343,392,349,0.136471868,1,0
1080,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,5,Yes,1129.75,227,609,2197,1486,0.136471868,1,1
1081,Yes,Points,Postcard,Medium,1,No,High,3,1,3,No,946.25,1651,1382,544,208,0.136471868,1,1
1082,No,Air Miles,Letter,High,2,No,High,2,2,4,No,1108.75,795,1051,1914,675,0.136471868,1,0
1083,Yes,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,1000.5,2074,820,546,562,0.136471868,1,1
1084,No,Air Miles,Postcard,Low,1,No,High,2,1,3,No,901.25,928,908,893,876,0.136471868,1,0
1085,No,Air Miles,Postcard,High,1,No,Low,3,1,1,No,1157,1199,1104,979,1346,0.136471868,1,0
1086,No,Points,Letter,Medium,1,No,High,3,1,4,No,1058.75,1882,1282,809,262,0.136471868,1,0
1087,No,Cash Back,Postcard,Medium,3,No,Low,1,1,6,No,697.25,709,895,683,502,0.136471868,1,0
1088,No,Air Miles,Letter,Low,1,Yes,Medium,1,1,5,Yes,970.25,153,1141,1901,686,0.136471868,1,0
1089,No,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,1008.5,1971,1359,670,34,0.136471868,1,0
1090,No,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,4,No,689.5,699,551,713,795,0.136471868,1,0
1091,No,Points,Letter,High,1,No,High,2,1,3,Yes,1065.5,1430,1678,942,212,0.136471868,1,0
1092,No,Points,Letter,Medium,1,No,Low,3,1,2,Yes,836.5,346,989,1472,539,0.136471868,1,0
1093,No,Points,Letter,High,1,No,High,2,1,5,Yes,218.25,140,271,176,286,0.136471868,1,0
1094,No,Air Miles,Letter,Medium,2,No,Low,1,2,3,No,846.75,672,818,979,918,0.136471868,1,0
1095,No,Air Miles,Letter,Medium,3,No,Medium,1,1,2,No,165.5,293,147,172,50,0.136471868,1,0
1096,Yes,Points,Letter,High,2,No,Low,1,1,2,No,231.75,115,372,174,266,0.136471868,1,1
1097,No,Cash Back,Postcard,Medium,2,No,High,1,1,3,Yes,789,758,855,734,809,0.136471868,1,0
1098,No,Points,Letter,Low,1,No,High,3,1,3,Yes,236,389,95,244,216,0.136471868,1,0
1099,Yes,Cash Back,Postcard,Medium,1,No,Low,3,1,4,No,123.5,86,95,98,215,0.136471868,1,1
1100,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,Yes,178.5,250,194,28,242,0.136471868,1,0
1101,Yes,Air Miles,Postcard,Low,2,No,Medium,2,2,5,No,234.75,62,370,414,93,0.136471868,1,1
1102,No,Points,Letter,Medium,1,Yes,Low,1,1,2,Yes,1001,2018,1255,438,293,0.136471868,1,0
1103,No,Points,Letter,Medium,1,No,Low,2,1,3,Yes,880.25,1371,421,901,828,0.136471868,1,0
1104,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1266.75,748,839,2124,1356,0.136471868,1,0
1105,No,Points,Letter,Low,2,Yes,Medium,1,1,5,Yes,1204.75,583,1649,1988,599,0.136471868,1,0
1106,No,Air Miles,Letter,High,1,No,Medium,2,2,4,Yes,1078.5,612,858,1120,1724,0.136471868,1,0
1107,No,Points,Postcard,Low,1,No,Medium,2,1,2,Yes,1028.75,1510,1395,979,231,0.136471868,1,0
1108,No,Air Miles,Letter,High,1,Yes,Medium,1,1,3,Yes,1530.25,669,1872,2270,1310,0.136471868,1,0
1109,Yes,Points,Postcard,Low,1,No,Medium,2,1,3,Yes,1157.25,636,1368,1095,1530,0.136471868,1,1
1110,No,Air Miles,Postcard,Low,2,No,High,2,1,4,No,850.25,1639,1002,675,85,0.136471868,1,0
1111,No,Points,Postcard,High,1,No,Low,2,1,4,Yes,703.25,671,772,769,601,0.136471868,1,0
1112,Yes,Air Miles,Postcard,Low,2,No,Low,1,2,2,No,980.75,1976,1138,696,113,0.136471868,1,1
1113,No,Points,Postcard,Medium,3,Yes,High,2,1,3,Yes,1207,1676,917,1296,939,0.136471868,1,0
1114,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,930,1343,1471,714,192,0.136471868,1,1
1115,No,Points,Postcard,Medium,1,No,High,3,1,3,No,1024.75,1999,1440,558,102,0.136471868,1,0
1116,No,Cash Back,Letter,Low,1,No,Medium,2,1,5,Yes,191,80,28,300,356,0.136471868,1,0
1117,No,Air Miles,Letter,Low,1,No,High,2,2,6,No,876,1530,1213,647,114,0.136471868,1,0
